iter	RMSE
0	11.87040119
1	10.87854558
2	9.992363545
3	9.20903406
4	8.486504225
5	7.830078966
6	7.248557379
7	6.720602348
8	6.229388401
9	5.809980857
10	5.4207824
11	5.074023903
12	4.757325738
13	4.480928403
14	4.236540808
15	4.014570842
16	3.810130007
17	3.632391391
18	3.472574127
19	3.329684968
20	3.194289371
21	3.07902278
22	2.971275543
23	2.871948833
24	2.783130195
25	2.701655993
26	2.63177182
27	2.567864298
28	2.51415873
29	2.464336586
30	2.418614328
31	2.378384752
32	2.342976074
33	2.309198713
34	2.280471164
35	2.25017589
36	2.221050166
37	2.198563144
38	2.176641278
39	2.155849044
40	2.13719767
41	2.12093172
42	2.106448178
43	2.092517686
44	2.078565759
45	2.065160446
46	2.052714439
47	2.041899881
48	2.031660301
49	2.021277186
50	2.013030943
51	2.004261869
52	1.997320468
53	1.990200662
54	1.983241894
55	1.977206612
56	1.971376921
57	1.965627604
58	1.95991373
59	1.954876832
60	1.950122999
61	1.945649871
62	1.940312643
63	1.935451569
64	1.931312551
65	1.928081286
66	1.924267515
67	1.920514872
68	1.917257913
69	1.914680677
70	1.911929077
71	1.908913037
72	1.90605449
73	1.903139085
74	1.900421735
75	1.8986287
76	1.896131018
77	1.89407454
78	1.892325961
79	1.890178289
80	1.888209286
81	1.886760523
82	1.885049006
83	1.883274788
84	1.881585621
85	1.880140653
86	1.877778664
87	1.875759326
88	1.873905694
89	1.871291466
90	1.86992552
91	1.868541276
92	1.866952883
93	1.866359977
94	1.865331494
95	1.863699179
96	1.862295823
97	1.860939216
98	1.859885697
99	1.858477741
