iter	Passed	Remaining
0	53	5264
1	57	2835
2	62	2023
3	67	1614
4	71	1360
5	76	1191
6	80	1068
7	84	974
8	89	900
9	94	847
10	98	796
11	102	752
12	107	716
13	111	683
14	115	654
15	119	629
16	124	605
17	127	582
18	131	562
19	135	543
20	140	526
21	144	511
22	148	497
23	152	483
24	157	471
25	161	458
26	165	447
27	169	435
28	173	424
29	177	413
30	181	404
31	185	394
32	189	385
33	193	376
34	197	367
35	201	358
36	205	350
37	209	342
38	213	334
39	218	327
40	222	320
41	226	312
42	230	305
43	234	298
44	238	291
45	242	285
46	247	278
47	251	272
48	255	266
49	259	259
50	263	253
51	267	247
52	271	241
53	276	235
54	280	229
55	284	223
56	288	217
57	293	212
58	297	206
59	301	200
60	305	195
61	309	189
62	313	184
63	317	178
64	321	173
65	326	167
66	330	162
67	334	157
68	338	152
69	342	146
70	346	141
71	351	136
72	355	131
73	359	126
74	363	121
75	367	115
76	371	110
77	375	105
78	379	100
79	383	95
80	387	90
81	391	85
82	395	81
83	399	76
84	403	71
85	407	66
86	413	61
87	418	57
88	422	52
89	426	47
90	431	42
91	434	37
92	439	33
93	443	28
94	447	23
95	452	18
96	456	14
97	460	9
98	464	4
99	468	0
